Country,Began,Ended,Duration in Days,Dead,Displaced,Main cause,Severity *,Affected sq km,Magnitude (M)**,Longitude of Centroid X,Latitude of Centroid Y
Philippines,15-Sep-05,27-Sep-05,13,16,8000,Monsoonal rain,1,12975.73,5.227075152,120.983,15.301
Senegal,20-Aug-05,10-Sep-05,22,0,5600,Heavy rain,1,333.207,3.865136797,-17.3737,14.7558
India,14-Sep-05,30-Sep-05,17,89,550000,Heavy rain,1,374448.85,6.803841423,82.5389,21.1139
Afghanistan,11-Sep-05,12-Sep-05,2,12,0,Heavy rain,1,3208.66,3.807353696,71.0849,34.9305
China,11-Sep-05,13-Sep-05,3,16,1350000,Tropical cyclone,1,84372.28,5.403321040,120.242,30.3681
Vietnam,08-Sep-05,01-Nov-05,55,69,30000,Monsoonal rain,1,154793.77,6.930116167,105.735,10.7071
France,07-Sep-05,09-Sep-05,3,0,3000,Heavy rain,1,9814.17,4.468974831,4.18619,44.0571
Japan,04-Sep-05,09-Sep-05,6,22,301000,Tropical cyclone,1,36825.48,5.344299667,131.316,32.3519
Taiwan,01-Sep-05,04-Sep-05,4,129,1840000,Tropical cyclone,1,188694.05,5.877818197,118.554,28.5839
Nigeria,07-Aug-05,16-Sep-05,41,3,7,Heavy rain,1,159497.37,6.815537383,10.9053,10.6656
Australia,30-Aug-05,03-Sep-05,5,0,0,Heavy rain,1,8209.31,4.613276660,147.095,-41.5536
USA,29-Aug-05,19-Sep-05,22,1053,500000,Tropical cyclone,2,50377.42,6.345688599,-90.3201,30.191
India,26-Aug-05,30-Aug-05,5,21,0,Heavy rain,1,12677.59,4.802006707,83.2115,25.886
Mexico,21-Aug-05,30-Aug-05,10,30,10000,Heavy rain,1,242699.51,6.385068900,-98.6578,18.8116
Switzerland,21-Aug-05,26-Aug-05,6,12,2500,Heavy rain,2,44952.69,5.731936931,9.57806,47.4865
Ethiopia,20-Aug-05,07-Sep-05,19,3,7000,Heavy rain,1,52560.03,5.999409205,38.729,7.35224
Romania,14-Aug-05,02-Sep-05,20,34,2000,Heavy rain,1,68754.86,6.138333398,25.0422,46.898
Sierra Leone,14-Aug-05,16-Aug-05,3,20,15000,Heavy rain,2,7725.62,4.666084593,-11.6876,7.41856
China,14-Aug-05,05-Sep-05,23,28,14500,Heavy rain,1,43676.36,6.001974273,112.263,32.0585
China,13-Aug-05,20-Aug-05,8,15,206000,Heavy rain,1,85856.94,5.836865393,123.07,41.8583
Vietnam,13-Aug-05,16-Aug-05,4,13,0,Heavy rain,1,14785.95,4.771909225,104.857,19.1699
Thailand,13-Aug-05,26-Sep-05,45,11,119270,Monsoonal rain,2,134287.4,7.082277775,99.3691,19.0685
Iran,09-Aug-05,11-Aug-05,3,43,0,Heavy rain,1,4899.65,4.167286313,55.8167,37.6813
Central African Republic,08-Aug-05,25-Aug-05,18,1,22500,Heavy rain,1,65654.14,6.072534622,18.4898,4.40507
China,05-Aug-05,14-Aug-05,10,7,230000,Heavy rain,1,855819.77,6.932382315,81.8645,39.8858
Bulgaria,04-Aug-05,11-Aug-05,8,7,12000,Heavy rain,1,44209.12,5.548601857,24.4644,42.2671
Sudan,03-Aug-05,19-Aug-05,17,8,8000,Heavy rain,1,163360.92,6.443597092,24.7367,13.0351
South Korea,02-Aug-05,04-Aug-05,3,11,1500,Monsoonal rain,1,9965.14,4.475604659,127.456,35.6995
Turkey,02-Aug-05,03-Aug-05,2,7,0,Heavy rain,1,1667.49,3.523093234,40.3862,40.8275
Iran,31-Jul-05,01-Aug-05,2,27,0,Heavy rain,1,4580.5,3.961942883,55.7931,37.6805
India,30-Jul-05,03-Aug-05,5,8,344857,Monsoonal rain,1,11721.28,4.767945045,86.2759,20.9915
Philippines,27-Jul-05,30-Jul-05,4,3,32782,Monsoonal rain,1,1058.18,3.626619540,122.905,10.4097
India,23-Jul-05,16-Aug-05,25,126,100000,Monsoonal rain,1,619197.82,7.189769427,79.9654,16.9772
India,24-Jul-05,05-Aug-05,13,987,160000,Monsoonal rain,1,35551.57,5.664802137,73.435,17.9836
China,21-Jul-05,22-Jul-05,2,16,0,Dam Break,1,395.807,2.898513466,104.262,27.7023
Malaysia,17-Jul-05,19-Jul-05,3,4,600,Torrential rain,2,1468.81,3.945116871,116.224,6.05477
Taiwan,16-Jul-05,20-Jul-05,5,17,0,Tropical cyclone,1,12148.26,4.783484083,120.856,28.1203
China,10-Jul-05,18-Jul-05,9,0,0,Heavy rain,1,101854.32,5.962221963,115.76,32.6055
Romania,12-Jul-05,28-Jul-05,17,23,13000,Heavy rain,2,40036.82,6.133938493,27.8629,45.7648
Japan,10-Jul-05,11-Jul-05,2,4,600,Heavy rain,1,23384.41,4.669956413,130.955,32.9554
India,07-Jul-05,27-Jul-05,21,40,3000000,Monsoonal rain,1,823461.88,7.237862794,87.0126,27.4363
Pakistan,05-Jul-05,14-Aug-05,41,40,452000,Monsoonal rain,1,433454.63,7.249727503,73.5637,30.923
China,01-Jul-05,12-Aug-05,43,5,1500,Heavy rain,1,275029.31,7.072847435,125.501,44.5627
Romania,02-Jul-05,16-Jul-05,15,23,7000,Heavy rain,1,72209.36,6.034684755,26.329,43.8535
India,02-Jul-05,15-Jul-05,14,62,49000,Monsoonal rain,1,55740.23,5.892296792,80.1999,24.1288
North Korea,30-Jun-05,02-Jul-05,3,88,16000,Monsoonal rain,1,2586.86,3.889894180,126.499,39.7282
China,28-Jun-05,19-Jul-05,22,65,428000,Heavy rain,1,69402.58,6.183798296,103.519,30.6766
Australia,30-Jun-05,03-Jul-05,4,3,3000,Heavy rain,1,7891.31,4.499209096,153.289,-28.5195
India,29-Jun-05,03-Jul-05,5,1,140000,Monsoonal rain,1,6802.76,4.531655154,86.4305,20.9765
Mexico,29-Jun-05,30-Jun-05,2,2,0,Heavy rain,1,968.76,3.287246194,-97.65,21.3534
India,28-Jun-05,15-Jul-05,18,202,500000,Monsoonal rain,2,73780.97,6.424246861,73.0739,21.433
Chile,26-Jun-05,28-Jun-05,3,5,800,Heavy rain,1,12209.92,4.563834073,-72.76,-36.9575
India,26-Jun-05,29-Jun-05,4,6,5000,Heavy rain,1,6530.74,4.417022385,78.4423,31.6718
El Salvador,24-Jun-05,27-Jun-05,4,41,1500,Heavy rain,1,35359.18,5.150562176,-88.1982,13.9466
Bangladesh,23-Jun-05,30-Jun-05,8,5,70000,Monsoonal rain,1,15321.96,5.088404311,89.1145,25.9614
Pakistan,21-Jun-05,05-Aug-05,46,5,50000,Snowmelt,2,28630.77,6.420620856,71.5076,34.272
China,19-Jun-05,30-Jun-05,12,200,1500000,Heavy rain,2,226558.27,6.735391161,111.322,23.5449
UK,19-Jun-05,20-Jun-05,2,0,0,Torrential rain,2,1055.41,3.625481196,-1.02334,54.2588
Kenya,17-Jun-05,20-Jun-05,4,20,1200,Heavy rain,1,3517.31,4.148270638,34.2361,0.542042
China,17-Jun-05,25-Jun-05,9,19,210000,Heavy rain,2,93628.71,6.226681545,117.773,26.6914
Tajikistan,15-Jun-05,21-Jul-05,37,39,11000,Heavy rain,1,102998.37,6.581032076,70.7991,37.18
Taiwan,11-Jun-05,17-Jun-05,7,16,2700,Heavy rain,2,3446.4,4.683493717,120.345,22.8027
China,10-Jun-05,12-Jun-05,3,117,400,Torrential rain,2,2332.12,4.145902144,129.266,44.3196
Tajikistan,08-Jun-05,10-Jun-05,3,6,2000,Heavy rain,1,5936.26,4.250634169,68.1036,39.4723
Canada,07-Jun-05,01-Jul-05,25,4,5000,Heavy rain,2,86681.01,6.636893967,-114.424,50.8437
Georgia,05-Jun-05,17-Jun-05,13,1,50,Heavy rain,1,14901.1,5.287161682,45.3243,42.0489
Brazil,01-Jun-05,04-Jun-05,4,28,31000,Heavy rain,1,6052.27,4.383978286,-35.3711,-8.02432
China,30-May-05,10-Jun-05,12,160,300000,Heavy rain,1,679663.6,6.911475258,108.103,28.7151
Ukraine,28-May-05,30-May-05,3,0,50,Heavy rain,1,8129.39,4.387179214,35.8842,47.0515
China,28-May-05,29-May-05,2,8,0,Torrential rain,1,2020.76,3.606544732,104.121,34.4136
Bulgaria,26-May-05,13-Jun-05,19,6,0,Heavy rain,1,71253.3,6.131558584,25.2691,43.1307
Russia,11-May-05,07-Jun-05,28,1,50,Heavy rain,2,379339.74,7.327216369,135.157,47.9353
Finland,25-May-05,31-May-05,7,0,400,Snowmelt,1,24898.89,5.241278027,26.3662,67.4743
Bangladesh,25-May-05,28-May-05,4,13,50000,Heavy rain,1,12730.18,4.706894536,91.6424,24.598
Brazil,24-May-05,27-May-05,4,5,0,Torrential rain,1,928.544,3.569862479,-46.6149,-23.5269
New Zealand,18-May-05,21-May-05,4,0,290,Heavy rain,2,628.483,3.701383522,176.118,-37.6649
Tajikistan,07-May-05,18-May-05,12,1,0,Heavy rain,1,26479.81,5.502096111,69.2506,37.9689
Afghanistan,04-May-05,08-May-05,5,14,0,Snowmelt,1,82363.91,5.614706960,64.7671,33.7082
Kenya,03-May-05,03-Jun-05,32,4,40000,Heavy rain,2,443212.08,7.452791563,37.2384,0.795883
Indonesia,26-Apr-05,27-Apr-05,2,20,750,Heavy rain,1,1727.34,3.538407826,97.6622,3.69543
Georgia,25-Apr-05,30-May-05,36,0,6000,Heavy rain,1,1515482.22,7.736853346,41.5522,42.6487
Ethiopia,23-Apr-05,14-Jun-05,53,177,260000,Heavy rain,2,336115.19,7.551794005,43.2861,6.2723
Romania,18-Apr-05,04-Jun-05,48,4,7000,Heavy rain,2,58909.96,6.752459961,21.2129,45.6965
Tanzania,16-Apr-05,18-Apr-05,3,1,300,Heavy rain,1,507.011,3.182138637,39.2955,-6.12967
Columbia,11-Apr-05,14-Apr-05,4,11,0,Heavy rain,1,34532.06,5.140282478,-74.3223,6.35323
USA,01-Apr-05,06-Apr-05,6,2,11000,Heavy rain,2,130491.54,6.194763603,-74.7348,42.219
Afghanistan,29-Mar-05,30-Mar-05,2,6,0,Heavy rain,1,1437.55,3.458652955,68.4509,33.5306
